Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,predict,real
63,1,1,3,1,2,1,51,5,3,2,6102.0,0,6102.0,0.639,4527,67,0.5579999999999999,0.0,1,1,1
49,0,4,4,3,2,1,36,1,1,2,3244.0,0,3244.0,0.765,7495,97,0.54,0.0,1,1,1
43,1,4,5,2,5,1,36,5,1,1,19188.0,1622,17566.0,0.75,4282,52,0.926,0.085,1,1,1
62,0,1,5,3,2,1,49,4,2,2,3143.0,2517,626.0,0.625,1323,25,0.923,0.8009999999999999,1,1,1
36,0,1,3,1,2,1,36,5,3,4,5257.0,1572,3685.0,0.732,2822,73,0.659,0.299,1,1,1
44,0,3,7,3,1,1,40,2,1,1,7212.0,1008,6204.0,0.727,5169,82,0.745,0.14,1,1,1
48,0,4,1,3,2,1,36,4,3,3,2740.0,2425,315.0,0.816,2431,46,0.394,0.885,0,1,0
38,0,2,2,1,1,1,28,2,3,3,5666.0,1393,4273.0,0.84,5015,90,0.915,0.246,1,1,1
62,0,1,2,3,3,1,43,3,1,1,4760.0,0,4760.0,0.564,1459,20,0.5379999999999999,0.0,1,0,1
62,1,1,1,1,5,1,55,6,1,4,34516.0,2517,31999.0,0.945,3975,63,0.537,0.073,1,1,1
39,0,1,5,1,2,1,28,5,3,3,1809.0,1181,628.0,0.6559999999999999,4452,83,0.596,0.653,1,1,1
44,1,2,5,2,6,1,36,5,2,0,24016.0,0,24016.0,0.748,3693,62,0.722,0.0,1,1,1
50,0,3,7,3,2,1,41,3,3,2,2372.0,1148,1224.0,0.872,4418,80,0.818,0.484,1,1,1
54,1,1,1,1,5,1,36,6,2,2,30011.0,1232,28779.0,0.944,1676,41,0.7829999999999999,0.041,1,1,1
56,0,2,1,3,2,1,48,1,2,3,9092.0,1363,7729.0,0.83,14779,94,0.843,0.15,1,1,1
46,1,2,3,1,2,1,36,5,1,0,3818.0,1142,2676.0,0.7090000000000001,14731,113,0.948,0.299,1,1,1
33,0,1,6,3,1,1,36,5,3,3,4134.0,1130,3004.0,1.222,2475,52,0.926,0.273,1,1,1
42,1,4,1,1,5,1,32,6,3,5,7260.0,713,6547.0,0.833,4253,73,0.78,0.098,1,1,1
55,1,3,5,3,4,1,49,3,1,4,5668.0,2517,3151.0,0.7040000000000001,3382,56,0.931,0.444,1,1,1
49,0,0,7,0,2,1,37,5,2,3,1749.0,0,1749.0,1.006,2510,38,0.407,0.0,0,0,0
41,1,3,2,3,5,1,24,4,3,3,4119.0,1656,2463.0,0.561,1455,35,0.667,0.402,1,1,1
53,0,3,5,1,3,1,45,2,2,1,4942.0,2119,2823.0,0.718,7460,85,0.604,0.429,1,1,1
26,1,0,1,1,3,1,19,5,2,2,2187.0,1597,590.0,0.777,2560,46,0.314,0.73,1,1,1
48,0,4,4,1,2,1,38,4,3,3,4894.0,1505,3389.0,0.78,3277,67,0.5579999999999999,0.308,1,1,1
50,1,1,5,3,5,1,30,6,2,3,9771.0,1776,7995.0,0.46,2778,53,0.472,0.182,1,1,1
49,0,4,1,1,1,1,31,6,3,3,2672.0,0,2672.0,1.038,2576,39,0.5,0.0,0,0,0
56,0,1,5,0,3,1,36,5,4,1,5204.0,0,5204.0,1.008,5285,82,0.8640000000000001,0.0,1,1,1
50,0,1,1,1,2,1,46,4,2,3,2081.0,1235,846.0,1.485,1337,29,1.071,0.593,1,1,1
40,1,3,3,1,5,1,36,2,3,2,4620.0,0,4620.0,0.654,6644,61,0.6940000000000001,0.0,0,1,0
44,0,4,3,0,1,1,34,4,3,4,15944.0,0,15944.0,0.919,9360,67,0.763,0.0,0,1,0
42,0,5,5,0,2,1,37,2,3,2,6250.0,1835,4415.0,0.644,4042,60,0.7140000000000001,0.294,1,1,1
52,0,2,4,1,2,1,40,4,3,3,2783.0,2379,404.0,0.912,3897,74,1.0,0.855,1,1,1
50,0,4,5,3,2,1,30,5,3,4,4038.0,1530,2508.0,0.7240000000000001,2400,41,0.32299999999999995,0.379,0,1,0
29,1,1,6,3,2,1,18,4,3,2,2963.0,1466,1497.0,1.378,2523,48,0.846,0.495,1,1,1
57,1,1,1,1,4,1,43,3,3,1,19090.0,0,19090.0,0.53,4712,88,0.517,0.0,1,1,1
38,1,2,5,3,5,1,36,5,3,4,11444.0,1278,10166.0,1.31,2493,44,0.913,0.112,1,1,1
58,0,1,2,3,2,1,39,3,3,3,2210.0,1624,586.0,0.627,1287,37,0.48,0.735,1,1,1
56,0,3,6,1,2,1,36,4,3,0,2535.0,1699,836.0,0.72,4497,68,0.789,0.67,1,1,1
56,0,1,5,1,2,1,36,4,3,2,1936.0,1101,835.0,0.984,4578,70,0.892,0.569,1,1,1
43,1,4,2,3,4,1,37,4,1,3,3482.0,1942,1540.0,0.926,3512,63,0.853,0.5579999999999999,1,1,1
60,0,1,5,3,3,1,47,4,3,2,5015.0,2053,2962.0,0.442,1325,29,0.381,0.409,1,1,1
39,1,4,4,1,5,1,31,4,3,2,32210.0,1115,31095.0,0.62,1821,53,0.514,0.035,1,1,1
63,1,0,2,1,3,1,36,3,3,3,1970.0,1224,746.0,0.54,4533,65,0.625,0.621,1,1,1
52,0,2,2,3,2,1,42,6,3,0,5456.0,0,5456.0,0.337,3470,65,0.625,0.0,1,1,1
45,1,3,4,1,4,1,32,4,1,2,1438.3,0,1438.3,0.81,1468,26,0.625,0.0,1,0,1
26,0,0,3,1,2,1,13,6,3,4,3517.0,1195,2322.0,0.556,2255,48,0.5,0.34,1,1,1
28,1,0,3,1,2,1,36,6,3,4,2295.0,1015,1280.0,1.04,3366,82,0.708,0.442,1,1,1
